Catégorie principale;Catégorie;Sous Catégories;Type;Produit;Site La Fourche;Quantité La Fourche;Site Biocoop Champollion;Quantité Biocoop Champollion;Site Biocoop Fontaine;Quantité Biocoop Fontaine;Site Satoriz;Quantité Satoriz;Site GreenWeez;Quantité GreenWeez;Code Elefan;Quantité Elefan;Date MAJ;Proportion;Elefan moins cher mais sans stock;
Boissons;Sirops;Tout;Prix bas;Sirop de grenadine;https://lafourche.fr/products/elibio-sirop-de-genadine-bio-0-5l;1;https://www.biocoop.fr/sirop-grenadine-70cl-bg5000-000.html;0,7;https://www.biocoop.fr/sirop-grenadine-70cl-bg5000-000.html;0,7;https://satoriz-comboire.bio/products/st60234;1;https://www.greenweez.com/produit/sirop-de-grenadine-1l/1MENE0019;1;SIROP DE GRENADINE FRUITEE;1;;;;
Boissons;Sirops;Tout;Prix bas;Sirop de citron;https://lafourche.fr/products/elibio-sirop-de-citron-bio-1l;1;https://www.biocoop.fr/sirop-de-citron-au-sucre-de-canne-70cl-ro6000-000.html;0,7;https://www.biocoop.fr/sirop-de-citron-au-sucre-de-canne-70cl-ro6000-000.html;0,7;https://satoriz-comboire.bio/products/st60236;1;https://www.greenweez.com/produit/sirop-de-citron-1l/1MENE0021;1;SIROP BIO CITRON;1;;;;
Boissons;Sirops;Tout;Prix bas;Sirop d'orgeat;https://lafourche.fr/products/maison-meneau-sirop-dorgeat-bio-0-5l;0,5;https://www.biocoop.fr/sirop-d-orgeat-au-sucre-de-canne-50cl-mb0006-000.html;0,5;https://www.biocoop.fr/sirop-d-orgeat-au-sucre-de-canne-50cl-mb0006-000.html;0,5;https://satoriz-comboire.bio/products/st97029;0,5;https://www.greenweez.com/produit/sirop-dorgeat-50cl/1MENE0053;0,5;SIROP D ORGEAT;1;;;;
Boissons;Sirops;Tout;Prix bas;Sirop de pèche;https://lafourche.fr/products/maison-meneau-sirop-peche-50cl-bio;0,5;;;;;https://satoriz-comboire.bio/products/st97047;0,5;https://www.greenweez.com/produit/sirop-de-peche-50cl/1MENE0056;0,5;SIROP DE PECHE;1;;;;
Boissons;Sodas;Tout;Prix bas;Cola;https://lafourche.fr/products/cola-bio;1;https://www.biocoop.fr/cola-1l-vt0680-000.html;1;https://www.biocoop.fr/cola-1l-vt0680-000.html;1;https://satoriz-comboire.bio/products/vtcola;1;https://www.greenweez.com/produit/cola-bio-equitable-1l/5VITA0045;1;YAUTE COLA  BS 33 CL BOUTEILLE;0,33;;;;
Boissons;Sodas;Tout;Prix bas;Limonade;https://lafourche.fr/products/vitamont-limonade-d-antan-75cl-bio;0,75;https://www.biocoop.fr/limonade-75cl-mb0067-000.html;0,75;https://www.biocoop.fr/limonade-75cl-mb0067-000.html;0,75;https://satoriz-comboire.bio/products/selm1;1;https://www.greenweez.com/produit/limonade-dantan-75cl-25-cl-offerts/5VITA0081;1;LIMONADE PUR CITRON 100CL;1;;;;
Boissons;Sodas;Tout;Prix bas;Citronnade;https://lafourche.fr/products/vitamont-citronnade-au-pur-jus-de-citron-jaune-75cl-bio;0,75;https://www.biocoop.fr/citronnade-citron-vert-75cl-vt4959-000.html;0,75;https://www.biocoop.fr/citronnade-citron-vert-75cl-vt4959-000.html;0,75;https://satoriz-comboire.bio/products/vt10883;0,75;https://www.greenweez.com/produit/citronnade-citrons-jaunes-bio-75cl/5VITA0060;0,75;CITRONNADE;1;;;;
Boissons;Sodas;Tout;Prix bas;Pétillant pomme;https://lafourche.fr/products/coteaux-nantais-bio-apibul-pommes-75cl;0,75;https://www.biocoop.fr/petillant-de-fruit-100-pomme-75cl-or1100-000.html;0,75;https://www.biocoop.fr/apibul-pommes-75cl-cn0040-000.html;0,75;https://satoriz-comboire.bio/collections/boissons-sans-alcools/products/cn0057;0,75;https://www.greenweez.com/produit/apibul-pommes-75cl/1COTE0197;0,75;;;;;;
Boissons;Sodas;Tout;Prix bas;Apibul pomme framboise;https://lafourche.fr/products/coteaux-nantais-bio-apibul-pommes-framboises-75cl;0,75;;;;;https://satoriz-comboire.bio/collections/boissons-sans-alcools/products/cn0039;0,75;https://www.greenweez.com/produit/apibul-pommes-framboises-75cl/1COTE0031;0,75;;;;;;
Epicerie salée;Apéritifs;Fruits secs;Prix bas;Pistaches salées;https://lafourche.fr/products/la-fourche-250g-de-pistaches-en-coque-grillees-salees-en-vrac-bio;0,25;https://www.biocoop.fr/pistaches-coques-grillees-salees-bio-ag3041-000.html;V;https://www.biocoop.fr/pistaches-coques-grillees-salees-bio-ag3041-000.html;V;https://satoriz-comboire.bio/collections/vrac/products/ag0653;V;https://www.greenweez.com/produit/pistaches-en-coques-grillees-salees-500g/2WEEZ0404;0,5;PISTACHE COQUE GRILLEE-SALEE VRAC;V;;0.25;;
